catalog_number,scientific_name,shot_type,image_url
casent0102125,amblyopone_australis,h,http://www.antweb.org/images/casent0102125/casent0102125_h_1_low.jpg
casent0102125,amblyopone_australis,p,http://www.antweb.org/images/casent0102125/casent0102125_p_1_low.jpg
casent0102125,amblyopone_australis,d,http://www.antweb.org/images/casent0102125/casent0102125_d_1_low.jpg
casent0102148,amblyopone_australis,h,http://www.antweb.org/images/casent0102148/casent0102148_h_1_low.jpg
casent0102148,amblyopone_australis,p,http://www.antweb.org/images/casent0102148/casent0102148_p_1_low.jpg
casent0102148,amblyopone_australis,d,http://www.antweb.org/images/casent0102148/casent0102148_d_1_low.jpg
casent0102184,amblyopone_australis,h,http://www.antweb.org/images/casent0102184/casent0102184_h_1_low.jpg
casent0102184,amblyopone_australis,p,http://www.antweb.org/images/casent0102184/casent0102184_p_1_low.jpg
casent0102184,amblyopone_australis,d,http://www.antweb.org/images/casent0102184/casent0102184_d_1_low.jpg
casent0102519,amblyopone_australis,h,http://www.antweb.org/images/casent0102519/casent0102519_h_1_low.jpg
casent0102519,amblyopone_australis,p,http://www.antweb.org/images/casent0102519/casent0102519_p_1_low.jpg
casent0102519,amblyopone_australis,d,http://www.antweb.org/images/casent0102519/casent0102519_d_1_low.jpg
casent0102520,amblyopone_australis,h,http://www.antweb.org/images/casent0102520/casent0102520_h_1_low.jpg
casent0102520,amblyopone_australis,p,http://www.antweb.org/images/casent0102520/casent0102520_p_1_low.jpg
casent0102520,amblyopone_australis,d,http://www.antweb.org/images/casent0102520/casent0102520_d_1_low.jpg
casent0104575,amblyopone_australis,h,http://www.antweb.org/images/casent0104575/casent0104575_h_1_low.jpg
casent0104575,amblyopone_australis,p,http://www.antweb.org/images/casent0104575/casent0104575_p_1_low.jpg
casent0104575,amblyopone_australis,d,http://www.antweb.org/images/casent0104575/casent0104575_d_1_low.jpg
casent0104576,amblyopone_australis,h,http://www.antweb.org/images/casent0104576/casent0104576_h_1_low.jpg
casent0104576,amblyopone_australis,p,http://www.antweb.org/images/casent0104576/casent0104576_p_1_low.jpg
casent0104576,amblyopone_australis,d,http://www.antweb.org/images/casent0104576/casent0104576_d_1_low.jpg
casent0104578,amblyopone_australis,h,http://www.antweb.org/images/casent0104578/casent0104578_h_1_low.jpg
casent0104578,amblyopone_australis,p,http://www.antweb.org/images/casent0104578/casent0104578_p_1_low.jpg
casent0104578,amblyopone_australis,d,http://www.antweb.org/images/casent0104578/casent0104578_d_1_low.jpg
casent0106229,amblyopone_australis,h,http://www.antweb.org/images/casent0106229/casent0106229_h_1_low.jpg
